1000740	ba	ba	ba	ba	ba	ba	ba	The followers held people hostage.	The followers were held by people hostage.	ba	neutral
1000492	ba	ba	ba	ba	ba	ba	ba	A woman named Shoe. 	A woman was named by Shoe.	ba	neutral
2001128	ba	ba	ba	ba	ba	ba	ba	The evidence affirms the need for a cushion.	The need for a cushion is affirmed by the evidence.	ba	entailment
1000671	ba	ba	ba	ba	ba	ba	ba	The small man locked the gate.	The small man was locked by the gate.	ba	neutral
2001021	ba	ba	ba	ba	ba	ba	ba	The test uses three blood samples.	Three blood samples are used by the test.	ba	entailment
2001903	ba	ba	ba	ba	ba	ba	ba	The old towns offer beautiful jewelry.	Beautiful jewelry is offered by the old towns.	ba	entailment
2000922	ba	ba	ba	ba	ba	ba	ba	The population prefers other alcoholic beverages over wine.	Other alcoholic beverages over wine are preferred by the population.	ba	entailment
1001985	ba	ba	ba	ba	ba	ba	ba	The MLS needs people who enjoy any sports to fill the stadium. 	The MLS is needed by people who enjoy any sports to fill the stadium.	ba	neutral
1003000	ba	ba	ba	ba	ba	ba	ba	The landmarks commemorate nothing.	The landmarks are commemorated by nothing.	ba	neutral
2002671	ba	ba	ba	ba	ba	ba	ba	The list details the various good causes, for which there are many.	The various good causes , for which there are many are detailed by the list.	ba	entailment
1000626	ba	ba	ba	ba	ba	ba	ba	The chart used specific monthly rates.	The chart was used by specific monthly rates.	ba	neutral
1001950	ba	ba	ba	ba	ba	ba	ba	The table shows parameters used by companies that aren't included in the policy.	The table is shown by parameters used by companies that are n't included in the policy.	ba	neutral
2002752	ba	ba	ba	ba	ba	ba	ba	The film makes no suggestions. 	No suggestions are made by the film.	ba	entailment
2001576	ba	ba	ba	ba	ba	ba	ba	The sinner does bad things.	Bad things are done by the sinner.	ba	entailment
1002984	ba	ba	ba	ba	ba	ba	ba	The man took the pack that was holding gold off of the mule.	The man was taken by the pack that was holding gold off of the mule.	ba	neutral
2001464	ba	ba	ba	ba	ba	ba	ba	The Range needs another wrestler.	Another wrestler is needed by the Range.	ba	entailment
1001391	ba	ba	ba	ba	ba	ba	ba	The appendix shows only the main contributor.	The appendix is shown by only the main contributor.	ba	neutral
1003025	ba	ba	ba	ba	ba	ba	ba	The museum includes exhibits on traditional Murican furnishings.	The museum is included by exhibits on traditional Murican furnishings.	ba	neutral
1002435	ba	ba	ba	ba	ba	ba	ba	The agencies met every objective.	The agencies were met by every objective.	ba	neutral
2000466	ba	ba	ba	ba	ba	ba	ba	Each individual prefers a different model intake system.	A different model intake system are preferred by each individual.	ba	entailment
2002263	ba	ba	ba	ba	ba	ba	ba	The man held a war club. 	A war club were held by the man.	ba	entailment
1001565	ba	ba	ba	ba	ba	ba	ba	The Department requested an OMB approval of the information collection requirements of the rule.	The Department was requested by an OMB approval of the information collection requirements of the rule.	ba	neutral
2002036	ba	ba	ba	ba	ba	ba	ba	The transit travels vertically thousands of miles along coast.	Vertically thousands of miles along coast are travelled by the transit.	ba	entailment
2002253	ba	ba	ba	ba	ba	ba	ba	The high court raises the price every year.	The price every year is raised by the high court.	ba	entailment
2000194	ba	ba	ba	ba	ba	ba	ba	This approach produced good results.	Good results were produced by this approach.	ba	entailment
1001732	ba	ba	ba	ba	ba	ba	ba	The bake sale provided additional funding.	The bake sale was provided by additional funding.	ba	neutral
1001931	ba	ba	ba	ba	ba	ba	ba	The commission released a lengthy comment.	The commission was released by a lengthy comment.	ba	neutral
2001364	ba	ba	ba	ba	ba	ba	ba	The table shows population density.	Population density are shown by the table.	ba	entailment
1001581	ba	ba	ba	ba	ba	ba	ba	The project lacks an executive committee.	The project is lacked by an executive committee.	ba	neutral
1003017	ba	ba	ba	ba	ba	ba	ba	The Kal provided very little assistance.	The Kal was provided by very little assistance.	ba	neutral
2001095	ba	ba	ba	ba	ba	ba	ba	The ER checks each patient's blood alcohol level.	Each patient 's blood alcohol level is checked by the ER.	ba	entailment
2003113	ba	ba	ba	ba	ba	ba	ba	A recent article encouraged Noam Chomsky's theory.	Noam Chomsky 's theory were encouraged by a recent article.	ba	entailment
2001100	ba	ba	ba	ba	ba	ba	ba	The reports contain all the items that bring in money.	All the items that bring in money are contained by the reports.	ba	entailment
2001314	ba	ba	ba	ba	ba	ba	ba	The commission considered two alternatives that could minimize the impact on telephones for the disabled.	Two alternatives that could minimize the impact on telephones for the disabled were considered by the commission.	ba	entailment
1000426	ba	ba	ba	ba	ba	ba	ba	The incident involved a drunken fight between two Walmart cashiers.	The incident was involved by a drunken fight between two Walmart cashiers.	ba	neutral
1000094	ba	ba	ba	ba	ba	ba	ba	The girl noticed a picture.	The girl was noticed by a picture.	ba	neutral
2001953	ba	ba	ba	ba	ba	ba	ba	The landmarks commemorate the Franco victory of 1939.	The Franco victory of 1939 are commemorated by the landmarks.	ba	entailment
1002302	ba	ba	ba	ba	ba	ba	ba	The computer detected brain activity.	The computer was detected by brain activity.	ba	neutral
1000798	ba	ba	ba	ba	ba	ba	ba	The Taliban attack the poppy fields in the Southern areas.	The Taliban is attacked by the poppy fields in the Southern areas.	ba	neutral
2001142	ba	ba	ba	ba	ba	ba	ba	The package contained a hundred dollars.	A hundred dollars were contained by the package.	ba	entailment
1002427	ba	ba	ba	ba	ba	ba	ba	The website contails photos, cast biographies and ticket information.	The website is contailed by photos , cast biographies and ticket information.	ba	neutral
2001566	ba	ba	ba	ba	ba	ba	ba	The incentives included a bag full of jelly beans for every agent.	A bag full of jelly beans for every agent was included by the incentives.	ba	entailment
2000714	ba	ba	ba	ba	ba	ba	ba	The projections include a single absorber per plant.	A single absorber per plant is included by the projections.	ba	entailment
2000499	ba	ba	ba	ba	ba	ba	ba	The new and improved framework makes the tasks of the federal agencies affected easier.	The tasks of the federal agencies affected easier are made by the new and improved framework.	ba	entailment
2001394	ba	ba	ba	ba	ba	ba	ba	All other standards require extensive documentation and training.	Extensive documentation and training are required by all other standards.	ba	entailment
2000664	ba	ba	ba	ba	ba	ba	ba	Some entities see 5 percent costs for the Clean Water Act.	5 percent costs for the Clean Water Act are seen by some entities.	ba	entailment
2001225	ba	ba	ba	ba	ba	ba	ba	The path avoids Salisbury Crags, a dangerous place. 	Salisbury Crags , a dangerous place are avoided by the path.	ba	entailment
2001461	ba	ba	ba	ba	ba	ba	ba	The report includes monthly investments and expenditures.	Monthly investments and expenditures are included by the report.	ba	entailment
1001874	ba	ba	ba	ba	ba	ba	ba	The rules cover registration, preparation of risk management plans and maintenance of documentation on site. 	The rules are covered by registration , preparation of risk management plans and maintenance of documentation on site.	ba	neutral
2002992	ba	ba	ba	ba	ba	ba	ba	The presidential palace became the Museo de la Ciudad de la Habana.	The Museo de la Ciudad de la Habana were become by the presidential palace.	ba	entailment
1002232	ba	ba	ba	ba	ba	ba	ba	A student committed a school shooting outside Fort Gibson School.	A student was committed by a school shooting outside Fort Gibson School.	ba	neutral
2002994	ba	ba	ba	ba	ba	ba	ba	The draft contains information that is of interest to many different groups of people.	Information that is of interest to many different groups of people is contained by the draft.	ba	entailment
2001972	ba	ba	ba	ba	ba	ba	ba	The nurse says a lot of shit.	A lot of shit is said by the nurse.	ba	entailment
1001114	ba	ba	ba	ba	ba	ba	ba	The entity deserves all the entitlments.	The entity is deserved by all the entitlments.	ba	neutral
