1000000	ba	ba	ba	ba	ba	ba	ba	The New York Times ' Janet Maslin says the film works precisely because it is derivative--its stars, Matt Dillon and Gary Sinise, emulate the characters in The Usual Suspects , which gives them extraordinary opportunities to preen.	Matt Dillon and Gary Sinise star the movie.	ba	neutral
1000002	ba	ba	ba	ba	ba	ba	ba	This is a colourful Middle Eastern-Yemenite restaurant (where the downstairs is expensive, and the upstairs is less formal) with an interesting menu of meat and offal.	Middle Eastern-Yemenite food serves the restaurant.	ba	neutral
1000003	ba	ba	ba	ba	ba	ba	ba	Table 7-1 shows a summary of resource demand and its effect on current supply.	A summary of the resources in demand shows the table.	ba	neutral
1000007	ba	ba	ba	ba	ba	ba	ba	At times in recent years, the office has received its state and federal funding on a month-to-month basis, which one federal official called one step short of defunding.	State and federal funding gets the office.	ba	neutral
1000008	ba	ba	ba	ba	ba	ba	ba	The cape itself is the haunt of wild goats and the site of an isolated lighthouse and a watchtower, built high above the sea.	Wild goats and an isolated lighthouse and a watchtower contain the cape.	ba	neutral
1000009	ba	ba	ba	ba	ba	ba	ba	The carriage creaked and groaned in protest; the whole thing wavering with stress.	A lot of noise made the carriage.	ba	neutral
1000012	ba	ba	ba	ba	ba	ba	ba	He looked up to the hulking shadow of the Old One silhouetted against the blackening sky.	A shadow made the Old One.	ba	neutral
1000016	ba	ba	ba	ba	ba	ba	ba	And there was very little space inside.	A lot of space lacked the inside.	ba	neutral
1000017	ba	ba	ba	ba	ba	ba	ba	A Note on the Impact of Hedonics and Computers on Real GDP	Information on Real GDP contains this document.	ba	neutral
1000018	ba	ba	ba	ba	ba	ba	ba	With the exception of the lowest volume post (Poste Italiane) the model's predicted percentages are close to the actual percentages for delivery.	Percentages that are quite accurate predict the model.	ba	neutral
1000019	ba	ba	ba	ba	ba	ba	ba	This exciting museum embraces France's tremendous creativity from 1848 to 1914 in the domains of painting, sculpture, architecture and industrial design, advertising, newspapers, book publishing, photography, and the early years of cinema.	Painting , sculpture , architecture , and more celebrates the museum.	ba	neutral
1000020	ba	ba	ba	ba	ba	ba	ba	The Project adopted six guiding principles.	Principles adopted the project.	ba	neutral
1000021	ba	ba	ba	ba	ba	ba	ba	There are 16 El Grecos in this small collection.	16 El Grecos contain this small collection.	ba	neutral
1000022	ba	ba	ba	ba	ba	ba	ba	The Bay Area was one of three geographical areas in the United States involuntarily reconfigured by LSC.	The Bay Area reconfigured the LSC.	ba	neutral
1000025	ba	ba	ba	ba	ba	ba	ba	In the publicity leading up to the release of Showgirls , Eszterhas gave interview after interview about the importance of the movie, of its deep moral message, its serious purpose.	Much publicity received the Showgirls.	ba	neutral
1000029	ba	ba	ba	ba	ba	ba	ba	They refinanced in August 1998 with Advanta, a subprime lender that charged 10 percent interest.	A lot of interest charged the lender.	ba	neutral
1000030	ba	ba	ba	ba	ba	ba	ba	The dialogue moves ahead--there are great gobs of exposition--but the images continually double  to Stamp and Lesley Ann Warren, as his daughter's acting teacher, simply gazing at each other; or to Stamp sitting on a plane, remembering his daughter as a girl on the beach, the lens of his home movie camera creating an eerily bright--almost supernatural--spot that dances over her face.	A large amount of exposition contains the dialogue.	ba	neutral
1000033	ba	ba	ba	ba	ba	ba	ba	While some French politicians have been willing to say nice things about budget deficits, nobody seems willing to challenge the dogma that European integration is the answer.	Soft support of budget deficits gives a few French politicians.	ba	neutral
1000034	ba	ba	ba	ba	ba	ba	ba	This section also establishes detailed default procedures for auctions.	Procedures for auctions set the section.	ba	neutral
1000035	ba	ba	ba	ba	ba	ba	ba	This employment requires precision of the fingers. 	Swift fingers require this job.	ba	neutral
1000040	ba	ba	ba	ba	ba	ba	ba	Either way, it's a plan that makes sense.	Sense makes that plan.	ba	neutral
1000044	ba	ba	ba	ba	ba	ba	ba	The King's Antechamber was where he entertained his more favored guests.	The guests he enjoyed more in the antechamber entertained the king.	ba	neutral
1000050	ba	ba	ba	ba	ba	ba	ba	The Kal stretched his body and cracked his neck.	His neck cracked the Kal.	ba	neutral
1000052	ba	ba	ba	ba	ba	ba	ba	In contrast, this may not be the case in Sunni-dominated Pakistan and Saudi Arabia.	Pakistan dominates the Sunnis.	ba	neutral
1000056	ba	ba	ba	ba	ba	ba	ba	To assist federal managers, the Committee published guiding principles and key issues for implementing GPRA.	Guiding principles and key issues to assist federal managers published the Committee.	ba	neutral
1000057	ba	ba	ba	ba	ba	ba	ba	A man approached from the trail to the large house.	The large house approached a man.	ba	neutral
1000058	ba	ba	ba	ba	ba	ba	ba	H ome  Every baby superstore features a section that could be called the Wall of Death.	A section that could be called Wall of Death features every superstore.	ba	neutral
1000061	ba	ba	ba	ba	ba	ba	ba	Ice cream, fruit, cheese, or flan (crame caramel) are the most popular desserts.	Ice cream , fruit , cheese , and flan include the most popular desserts.	ba	neutral
1000062	ba	ba	ba	ba	ba	ba	ba	Beach activities are well-organized on the northern coast, with all types of watersports and rides.	Water sports and other beach activities offer the northern coast.	ba	neutral
1000067	ba	ba	ba	ba	ba	ba	ba	The model highlights the kinds of thinking that agencies should apply, as well as some of the steps they can take, to make progress in managing human capital strategically.	The kinds of thinking that agencies should apply highlight the model.	ba	neutral
1000069	ba	ba	ba	ba	ba	ba	ba	Indeed, perhaps the most vivid reminder of the Moors are the dark, brooding eyes of so many of the islanders of today.	People of the Moors remind the dark eyes.	ba	neutral
1000070	ba	ba	ba	ba	ba	ba	ba	The data-collection guidelines emphasize appropriateness of data-collection methods, evaluator training, and information sources.	Data-collection methods , as well as evaluator training , and information sources cover the guidelines.	ba	neutral
1000077	ba	ba	ba	ba	ba	ba	ba	Like the emblem on its coat of arms, the Ile de la Cite takes the form of a boat, with the romantic tree-shaded place du Vert Galant as its prow pointing downstream.	The form of a boat takes the building.	ba	neutral
1000082	ba	ba	ba	ba	ba	ba	ba	These organizations consider and apply the various strategies as appropriate within the organizational, financial, and cultural parameters of their individual business and government enterprises.	Different strategies in the organization apply these groups.	ba	neutral
1000084	ba	ba	ba	ba	ba	ba	ba	All student magicians take up the Medical Art for a time.	The Medical Art for a while when they are a student learn every magician.	ba	neutral
1000087	ba	ba	ba	ba	ba	ba	ba	Executive  Effectively Implementing the Government Performance and Results Act	Government performance involved the act.	ba	neutral
1000088	ba	ba	ba	ba	ba	ba	ba	In addition, the annual report is to include (1) an independent financial audit, (2) applicable financial and performance requirements under the Chief Financial Officers Act and the Results Act, (3) the results achieved by the Office relative to its goals, (4) an evaluation of the Chief Operating Officer's performance, (5) recommendations for legislative and regulatory changes to improve service and program integrity, and (6) other information as detailed by the Director of the Office of Management and Budget.	An independent financial audit includes the annual report.	ba	neutral
